project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,gl_n_chunk_size_length_n,geocodio_latitude,geocodio_longitude,geocodio_accuracy_score,geocodio_accuracy_type,geocodio_address_line_1,geocodio_address_line_2,geocodio_address_line_3,geocodio_address_line_4,geocodio_house_number,geocodio_street,geocodio_unit_type,geocodio_unit_number,geocodio_city,geocodio_state_province,geocodio_nation,geocodio_county,geocodio_postal_code,geocodio_country,geocodio_building_name,geocodio_source,geocodio_stable_address_key,geocodio_match_type
1524 CORIANDER DR,New 2 Story S.F. Residence W/Attached Garage CovD Patio & CovD Porch. *S.M.A.R.T Housing*,2006-11-21,1,2,1524 CORIANDER DR,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739110,1524 CORIANDER DRIVE,NA,Austin,Texas,United States,2,30.222611,-97.691949,1,rooftop,1524 Coriander Dr,NA,"Austin, TX 78741",NA,1524,Coriander Dr,NA,NA,Austin,TX,NA,Travis County,78741,US,NA,City of Austin (Public Domain),gcod_usnntu3rvclfbg2flp83v2aslvvk7,building_centroid
6413 Kedington St,New 1 Story Res W Att Garage And Cov Porch **Volume Builder/Smart Housing**,2006-11-17,1,1,6413 KEDINGTON ST,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739387,6413 KEDINGTON STREET,NA,Austin,Texas,United States,2,30.150277,-97.747951,1,rooftop,6413 Kedington St,NA,"Austin, TX 78747",NA,6413,Kedington St,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usnc9rujywymjjeg545uwt8f46nzf,building_centroid
5368 Agatha Cir,New 2 Story Sf Res. Att Carport Wood Deck Covd Porch Covd Patio.  **Smart Housing**,2006-10-31,1,2,5368 AGATHA CIR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=750303,5368 AGATHA CIR,NA,Austin,Texas,United States,2,30.284457,-97.648716,1,rooftop,5368 Agatha Cir,NA,"Austin, TX 78724",NA,5368,Agatha Cir,NA,NA,Austin,TX,NA,Travis County,78724,US,NA,City of Austin (Public Domain),gcod_usn9b6e59mkxc472uw2d9k74mq4h8,building_centroid
1506 W 39th Half St,New Two-Story Sf Res W/Attached Basement-Garage W/Covd Porch.  Driveway ReqD.,2006-10-27,1,3,1506 W 39TH HALF ST,78756,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=733666,1506 WEST 39TH HALF STREET,NA,Austin,Texas,United States,2,30.309865,-97.747149,1,rooftop,1506 W 39½ St,NA,"Austin, TX 78756",NA,1506,W 39½ St,NA,NA,Austin,TX,NA,Travis County,78756,US,NA,City of Austin (Public Domain),gcod_usn6fsd2dzpykhags9feg8pteh7t3,building_centroid
5641 Colinton Ave,New 2-Story Sf Res Attached Garage Covered Porch And Patio.,2006-11-29,1,2,5641 COLINTON AVE,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=742073,5641 COLINTON AVE,NA,Austin,Texas,United States,2,30.37286,-97.612904,1,rooftop,5641 Colinton Ave,NA,"Austin, TX 78754",NA,5641,Colinton Ave,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usn29h7wr3yjfgf9kzpmbha773s64,building_centroid
8012 JOURNEYVILLE DR BLDG 350,New 2 Story Res W/ Att Garage And Cov Porch/Patio**Bldg Fee Only Waived**,2006-11-22,1,2,8012 JOURNEYVILLE DR,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739152,8012 JOURNEYVILLE DRIVE,NA,Austin,Texas,United States,2,30.250453,-97.876023,1,rooftop,8012 Journeyville Dr,NA,"Austin, TX 78735",NA,8012,Journeyville Dr,NA,NA,Austin,TX,NA,Travis County,78735,US,NA,City of Austin (Public Domain),gcod_usnqs4rhqszqk3v3x4aeye2q3hlnb,building_centroid
2207 S 3rd St,"New Two Family Residential (Ldc 25-2-774) ( 1 Bathrooms 5/8 Meter)

Expired permit replaced/resolved with new construction submitted under 12-126022 PR. PY.",2006-11-02,NA,2,2207 S 3RD ST,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=733970,2207 SOUTH 3RD STREET,NA,Austin,Texas,United States,2,30.244726,-97.760687,1,rooftop,2207 S 3rd St,NA,"Austin, TX 78704",NA,2207,S 3rd St,NA,NA,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usnullqrpagqbzfgktswt57yqkpqh,building_centroid
8409 Georgian Dr,New 1-Story Duplex Res Covered Porch No Garages.,2006-11-28,2,1,8409 GEORGIAN DR,78753,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738672,8409 GEORGIAN DRIVE,NA,Austin,Texas,United States,2,30.350555,-97.700933,1,rooftop,8409 Georgian Dr,NA,"Austin, TX 78753",NA,8409,Georgian Dr,NA,NA,Austin,TX,NA,Travis County,78753,US,NA,City of Austin (Public Domain),gcod_usn9mra5t968ed236eawsyapltjkf,building_centroid
7406 GENEVA DR,New 2-Story Duplex Res Detached Garages Covered Porches And Breezeway(1).,2006-11-08,2,2,7406 GENEVA DR,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=737926,7406 GENEVA DRIVE,NA,Austin,Texas,United States,2,30.322954,-97.677819,1,rooftop,7406 Geneva Dr,NA,"Austin, TX 78723",NA,7406,Geneva Dr,NA,NA,Austin,TX,NA,Travis County,78723,US,NA,City of Austin (Public Domain),gcod_usnuvwrs53zgda9apew28qp6pac3h,building_centroid
5628 COLINTON AVE,New 2-Story Sf Res Attached Garage Covered Porch And Patio.,2006-11-29,1,2,5628 COLINTON AVE,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739946,5628 COLINTON AVE,NA,Austin,Texas,United States,2,30.373444,-97.613074,1,rooftop,5628 Colinton Ave,NA,"Austin, TX 78754",NA,5628,Colinton Ave,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usn29h7wr3yjfgf97s6ulpn843u65,building_centroid
11905 Lansdowne Rd,New 2 Story Residence W/Attached Garage CovD Patio & CovD Porch.,2006-11-07,1,2,11905 LANSDOWNE RD,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738084,11905 LANSDOWNE ROAD,NA,Austin,Texas,United States,2,30.356808,-97.610537,1,rooftop,11905 Lansdowne Rd,NA,"Austin, TX 78754",NA,11905,Lansdowne Rd,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usnlcpcfbvj8zqt5rneyfcj48wewg,building_centroid
12024 BRYONY DR,New 2 Story Sf Residence W/Attached Garage; Covered Patio And Porch Only**See Comments For New Bldg Fee**,2006-11-07,1,2,12024 BRYONY DR,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738082,12024 BRYONY DRIVE,NA,Austin,Texas,United States,2,30.187207,-97.922814,1,rooftop,12024 Bryony Dr,NA,"Austin, TX 78739",NA,12024,Bryony Dr,NA,NA,Austin,TX,NA,Travis County,78739,US,NA,City of Austin (Public Domain),gcod_usneflvtfezsaz42mw7zlelpal2r7,building_centroid
1512 CORIANDER DR,New 1 Story S.F. Residence W/Attached Garage CovD Patio & CovD Porch. *S.M.A.R.T Housing*,2006-11-21,1,1,1512 CORIANDER DR,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739111,1512 CORIANDER DRIVE,NA,Austin,Texas,United States,2,30.222865,-97.69166,1,rooftop,1512 Coriander Dr,NA,"Austin, TX 78741",NA,1512,Coriander Dr,NA,NA,Austin,TX,NA,Travis County,78741,US,NA,City of Austin (Public Domain),gcod_usnntu3rvclfbg2faqqzk7zsmyp33,building_centroid
9201 Brodie Ln Bldg 1,New Multi-Family Residential Triplex W/Attached Garages,2006-10-26,3,2,9201 BRODIE LN BLDG 1,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738937,9201 BRODIE LANE BLDG 1,NA,Austin,Texas,United States,2,30.192088,-97.841886,1,rooftop,9201 Brodie Ln,Bldg 1,"Austin, TX 78748",NA,9201,Brodie Ln,Bldg,1,Austin,TX,NA,Travis County,78748,US,NA,City of Austin (Public Domain),gcod_usnz2q663mpycuh9h43vkj4m957f6-m63lplv9clhgd,building_centroid
2204 Riverview St,New Two Story Sf Res With CovRd Porch Roof Deck W Exterior Wood Stairs (See 2011-072615 for repermit) **construction was never started due to funding now repermitting**,2006-10-31,1,2,2204 RIVERVIEW ST,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=737773,2204 RIVERVIEW STREET,NA,Austin,Texas,United States,2,30.250343,-97.722759,1,rooftop,2204 Riverview St,NA,"Austin, TX 78702",NA,2204,Riverview St,NA,NA,Austin,TX,NA,Travis County,78702,US,NA,City of Austin (Public Domain),gcod_usn4tas7dxkry8xhyscagk9rempmb,building_centroid
5821 Kempson Dr,New 2 Story Res W/ Att Garage And Cov Porch/Patio,2006-11-21,1,2,5821 KEMPSON DR,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738908,5821 KEMPSON DRIVE,NA,Austin,Texas,United States,2,30.248738,-97.875553,1,rooftop,5821 Kempson Dr,NA,"Austin, TX 78735",NA,5821,Kempson Dr,NA,NA,Austin,TX,NA,Travis County,78735,US,NA,City of Austin (Public Domain),gcod_usnnu9smgb25z2pc2ewk5k8ahgdyd,building_centroid
12605 La Paz Ln,Withdrawn Per Applicant 12-20-06  Zoning Review By K. Batcher.,2006-10-26,1,1,12605 LA PAZ LN,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738959,12605 LA PAZ LANE,NA,Austin,Texas,United States,2,30.166247,-97.627623,1,rooftop,12605 LA-Paz Ln,NA,"Del Valle, TX 78617",NA,12605,LA-Paz Ln,NA,NA,Del Valle,TX,NA,Travis County,78617,US,NA,City of Austin (Public Domain),gcod_usny5taqklec9a4bsjp7h3fjv5yvc,building_centroid
5605 COLINTON AVE,New 2-Story Sf Res Attached Garage Covered Porch And Patio.,2006-11-16,1,2,5605 COLINTON AVE,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740231,5605 COLINTON AVE,NA,Austin,Texas,United States,2,30.373368,-97.613977,1,rooftop,5605 Colinton Ave,NA,"Austin, TX 78754",NA,5605,Colinton Ave,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usn29h7wr3yjfgf97tlhka68wjrma,building_centroid
13216 Kenswick Dr,New Two Story Sf Res W/Attached Garage W/Covd Patio & Porch,2006-11-20,1,2,13216 KENSWICK DR,78753,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738509,13216 KENSWICK DRIVE,NA,Austin,Texas,United States,2,30.404299,-97.645393,1,rooftop,13216 Kenswick Dr,NA,"Austin, TX 78753",NA,13216,Kenswick Dr,NA,NA,Austin,TX,NA,Travis County,78753,US,NA,City of Austin (Public Domain),gcod_usnu8cbpx5ha87q9tj2a6pekddgdd,building_centroid
1600 CORIANDER DR,New 1 Story Res W/ Att Garage And Cov Porch**Smart Housing**,2006-12-01,1,1,1600 CORIANDER DR,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738675,1600 CORIANDER DRIVE,NA,Austin,Texas,United States,2,30.222355,-97.692218,1,rooftop,1600 Coriander Dr,NA,"Austin, TX 78741",NA,1600,Coriander Dr,NA,NA,Austin,TX,NA,Travis County,78741,US,NA,City of Austin (Public Domain),gcod_usnntu3rvclfbg2frx75ywhgbvkrh,building_centroid
5001 Woodrow Ave,New 2 Story Duplex W/Att Carport Covd Porch. (See 2011-072993),2006-10-27,2,2,5001 WOODROW AVE,78756,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=737279,5001 WOODROW AVE,NA,Austin,Texas,United States,2,30.320855,-97.737629,1,rooftop,5001 Woodrow Ave,NA,"Austin, TX 78756",NA,5001,Woodrow Ave,NA,NA,Austin,TX,NA,Travis County,78756,US,NA,City of Austin (Public Domain),gcod_usnqnzwlk5vmwtdcf34xaytuduxbh,building_centroid
2206 Pennsylvania Ave,New Two Story Duplex With CovRd Porches.,2006-10-26,2,2,2206 PENNSYLVANIA AVE,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738945,2206 PENNSYLVANIA AVE,NA,Austin,Texas,United States,2,30.272483,-97.715932,1,rooftop,2206 Pennsylvania Ave,NA,"Austin, TX 78702",NA,2206,Pennsylvania Ave,NA,NA,Austin,TX,NA,Travis County,78702,US,NA,City of Austin (Public Domain),gcod_usny7fbqd5weuv94fr6bs2qe3z4jd,building_centroid
11721 CHERISSE DR,New 1-Story Sf Res Attached Garage Covered Porch And Patio.,2006-11-28,1,1,11721 CHERISSE DR,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740773,11721 CHERISSE DRIVE,NA,Austin,Texas,United States,2,30.18971,-97.92059,1,rooftop,11721 Cherisse Dr,NA,"Austin, TX 78739",NA,11721,Cherisse Dr,NA,NA,Austin,TX,NA,Travis County,78739,US,NA,City of Austin (Public Domain),gcod_usnfmqgxwg4h66zbr8at8enud7svc,building_centroid
5508 COLINTON AVE,New 2 Story Res W Att Garage And Cov Patio/Porch,2006-11-30,1,2,5508 COLINTON AVE,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739967,5508 COLINTON AVE,NA,Austin,Texas,United States,2,30.374229,-97.61459,1,rooftop,5508 Colinton Ave,NA,"Austin, TX 78754",NA,5508,Colinton Ave,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usn29h7wr3yjfgf9waqvdpp9ubck9,building_centroid
1608 CORIANDER DR,New 1 Story S.F. Residence W/Attached Garage CovD Patio & CovD Porch. *S.M.A.R.T Housing*,2006-11-21,1,1,1608 CORIANDER DR,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739786,1608 CORIANDER DRIVE,NA,Austin,Texas,United States,2,30.222186,-97.692409,1,rooftop,1608 Coriander Dr,NA,"Austin, TX 78741",NA,1608,Coriander Dr,NA,NA,Austin,TX,NA,Travis County,78741,US,NA,City of Austin (Public Domain),gcod_usnntu3rvclfbg2f6uvewyjgcrx8g,building_centroid
7400 Annette Cv,New One Story Sf Res W/ Covd Patio & Porch - Smart Housing,2006-11-29,1,1,7400 ANNETTE CV,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738469,7400 ANNETTE CV,NA,Austin,Texas,United States,2,30.285641,-97.645371,1,rooftop,7400 Annette Cv,NA,"Austin, TX 78724",NA,7400,Annette Cv,NA,NA,Austin,TX,NA,Travis County,78724,US,NA,City of Austin (Public Domain),gcod_usn7a9stpdy2v39dmjt4mbfke83ed,building_centroid
10500 Avery Club Dr Bldg 23,New Two Story Res W/Att Garage Covered Patio & Porch,2006-12-01,1,2,10500 AVERY CLUB DR BLDG 23,78717,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738193,10500 AVERY CLUB DRIVE BLDG 23,NA,Austin,Texas,United States,2,30.502085,-97.774144,1,rooftop,10500 Avery Club Dr,Unit 23,"Austin, TX 78717",NA,10500,Avery Club Dr,Unit,23,Austin,TX,NA,Williamson County,78717,US,NA,City of Round Rock,gcod_usnqphmum8nxqq23awbkm5d5fx5sd-vcup8q7fwwmuc,unit
5629 Colinton Ave,New 1-Story Sf Res Attached Garage Covered Porch And Patio.,2006-11-29,1,1,5629 COLINTON AVE,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=743215,5629 COLINTON AVE,NA,Austin,Texas,United States,2,30.37303,-97.613263,1,rooftop,5629 Colinton Ave,NA,"Austin, TX 78754",NA,5629,Colinton Ave,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usn29h7wr3yjfgf9yvba76audfvk2,building_centroid
1609 CORIANDER DR,New 2 Story Res With Att Garage And Cov Porch/Patio**Smart House**,2006-11-29,1,2,1609 CORIANDER DR,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740511,1609 CORIANDER DRIVE,NA,Austin,Texas,United States,2,30.221818,-97.692126,1,rooftop,1609 Coriander Dr,NA,"Austin, TX 78741",NA,1609,Coriander Dr,NA,NA,Austin,TX,NA,Travis County,78741,US,NA,City of Austin (Public Domain),gcod_usnntu3rvclfbg2frj7cvznkfm9d8,building_centroid
5604 Colinton Ave,New 2 Story Sf Residence W/Attached Garage; Covered Patio And Porch,2006-11-06,1,2,5604 COLINTON AVE,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738085,5604 COLINTON AVE,NA,Austin,Texas,United States,2,30.373792,-97.613801,1,rooftop,5604 Colinton Ave,NA,"Austin, TX 78754",NA,5604,Colinton Ave,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usn29h7wr3yjfgf9hy3sj7pt54c8b,building_centroid
1628 Coriander Dr,New 1 Story S.F. Residence W/Attached Garage CovD Patio & CovD Porch. *S.M.A.R.T Housing*,2006-11-02,1,1,1628 CORIANDER DR,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=737979,1628 CORIANDER DRIVE,NA,Austin,Texas,United States,2,30.22174,-97.692904,1,rooftop,1628 Coriander Dr,NA,"Austin, TX 78741",NA,1628,Coriander Dr,NA,NA,Austin,TX,NA,Travis County,78741,US,NA,City of Austin (Public Domain),gcod_usnntu3rvclfbg2f9n9pa6f8uyh85,building_centroid
1533 CORIANDER DR,New 1 Story Res W Att Garage And Cov Porch Patio**Smart Housing**,2006-11-29,1,1,1533 CORIANDER DR,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739326,1533 CORIANDER DRIVE,NA,Austin,Texas,United States,2,30.222146,-97.691752,1,rooftop,1533 Coriander Dr,NA,"Austin, TX 78741",NA,1533,Coriander Dr,NA,NA,Austin,TX,NA,Travis County,78741,US,NA,City of Austin (Public Domain),gcod_usnntu3rvclfbg2fgujlp5jxcysuf,building_centroid
7924 Menler Dr,New Single Fam 1 Story Res W/ Att Garage And Cov Porch,2006-11-21,1,1,7924 MENLER DR,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738909,7924 MENLER DRIVE,NA,Austin,Texas,United States,2,30.251433,-97.877675,1,rooftop,7924 Menler Dr,NA,"Austin, TX 78735",NA,7924,Menler Dr,NA,NA,Austin,TX,NA,Travis County,78735,US,NA,City of Austin (Public Domain),gcod_usn9xekajvx9j44hw8b2ld9cvex79,building_centroid
5448 Agatha Cir,New Two Story Sf Res W/Attached Carport W/Covd Patio Porch & Balcony - Smart Housing,2006-11-14,1,2,5448 AGATHA CIR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738669,5448 AGATHA CIR,NA,Austin,Texas,United States,2,30.285778,-97.647089,1,rooftop,5448 Agatha Cir,NA,"Austin, TX 78724",NA,5448,Agatha Cir,NA,NA,Austin,TX,NA,Travis County,78724,US,NA,City of Austin (Public Domain),gcod_usn9b6e59mkxc472pc9dccja2x43d,building_centroid
9132 Ipswich Bay Dr,New 1 Story Res W Att Garage And Cov Porch ** Volume Builder/Smart Housing**,2006-11-17,1,1,9132 IPSWICH BAY DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739485,9132 IPSWICH BAY DRIVE,NA,Austin,Texas,United States,2,30.149283,-97.747692,1,rooftop,9132 Ipswich Bay Dr,NA,"Austin, TX 78747",NA,9132,Ipswich Bay Dr,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usnj3l7awq8j6ky8zukrc6sq9l9vb,building_centroid
7501 Cayenne Ln,New 1 Story Res W Att Gargae And Cov Porch**Smart Housing**,2006-12-01,1,1,7501 CAYENNE LN,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738661,7501 CAYENNE LANE,NA,Austin,Texas,United States,2,30.222629,-97.692442,1,rooftop,7501 Cayenne Ln,NA,"Austin, TX 78741",NA,7501,Cayenne Ln,NA,NA,Austin,TX,NA,Travis County,78741,US,NA,City of Austin (Public Domain),gcod_usnt5uumlh3b4ss3y7f3ggbgntl7e,building_centroid
5621 Colinton Ave,New 2-Story Sf Res Attached Garage Covered Porch And Patio.,2006-11-20,1,2,5621 COLINTON AVE,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739616,5621 COLINTON AVE,NA,Austin,Texas,United States,2,30.373142,-97.613502,1,rooftop,5621 Colinton Ave,NA,"Austin, TX 78754",NA,5621,Colinton Ave,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usn29h7wr3yjfgf9uyxd8aphx2t3c,building_centroid
5640 Colinton Ave,New 1-Story Sf Res Attached Garage Covered Porch.,2006-11-16,1,1,5640 COLINTON AVE,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738741,5640 COLINTON AVE,NA,Austin,Texas,United States,2,30.373294,-97.612727,1,rooftop,5640 Colinton Ave,NA,"Austin, TX 78754",NA,5640,Colinton Ave,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usn29h7wr3yjfgf9bsrql2hghsurd,building_centroid
5640 Liberton Ln,New 1 Story Sf Residence W/Attached Garage; Covered Porch,2006-10-30,1,1,5640 LIBERTON LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739035,5640 LIBERTON LANE,NA,Austin,Texas,United States,2,30.372587,-97.613059,1,rooftop,5640 Liberton Ln,NA,"Austin, TX 78754",NA,5640,Liberton Ln,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usnnymfuj6dvpsegl9gmkapb7t4c8,building_centroid
12112 Timber Heights Dr,New 1 Story S.F. Residence W/Attached Garage & CovD Porch.,2006-11-13,1,1,12112 TIMBER HEIGHTS DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738197,12112 TIMBER HEIGHTS DRIVE,NA,Austin,Texas,United States,2,30.373259,-97.647843,1,rooftop,12112 Timber Heights Dr,NA,"Austin, TX 78754",NA,12112,Timber Heights Dr,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usn9ts4n3mcndqnd5m9qufp74zst3,building_centroid
10717 SORGHUM HILL CV,New 1 Story Sf Res. Att Garage Covd Patio Covd Porch.,2006-11-28,1,1,10717 SORGHUM HILL CV,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739236,10717 SORGHUM HILL CV,NA,Austin,Texas,United States,2,30.370058,-97.656924,1,rooftop,10717 Sorghum Hill Cv,NA,"Austin, TX 78754",NA,10717,Sorghum Hill Cv,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usntpgsbs2l7cua26kzz6htqfy873,building_centroid
5700 Colinton Ave,2 Story New Res W/ Att Garage And Covered Porch,2006-10-26,1,2,5700 COLINTON AVE,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740269,5700 COLINTON AVE,NA,Austin,Texas,United States,2,30.373142,-97.612356,1,rooftop,5700 Colinton Ave,NA,"Austin, TX 78754",NA,5700,Colinton Ave,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usn29h7wr3yjfgf9598t6c9naf7uc,building_centroid
2809 BONNIE RD,New Two Story Sf Res With Portecochere CovRd Porch CovRd Patio And UncovRd Patio,2006-11-30,2,2,2809 BONNIE RD,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=737779,2809 BONNIE ROAD,NA,Austin,Texas,United States,2,30.29228,-97.773535999999993,1,rooftop,2809 Bonnie Rd,NA,"Austin, TX 78703",NA,2809,Bonnie Rd,NA,NA,Austin,TX,NA,Travis County,78703,US,NA,City of Austin (Public Domain),gcod_usnxl6nkdcb9f722x5k2bmn7533t9,building_centroid
6017 Terravista Dr,New 2 Story Sf Residence W/Attached Garage; Covered Patio And Porch. *Stratus Bank-Bldg Waived Only-Not Trades*,2006-11-27,1,2,6017 TERRAVISTA DR,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739873,6017 TERRAVISTA DRIVE,NA,Austin,Texas,United States,2,30.248417,-97.875986,1,rooftop,6017 Terravista Dr,NA,"Austin, TX 78735",NA,6017,Terravista Dr,NA,NA,Austin,TX,NA,Travis County,78735,US,NA,City of Austin (Public Domain),gcod_usn39ytmfft3qwf7sfqtrb5bl865f,building_centroid
8717 Alum Rock Dr,New 2 Story Single Fam Res W/ Att Garage And Covered Porch.  **Smart Housing** *Model Home** Dcain,2006-11-16,1,2,8717 ALUM ROCK DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739493,8717 ALUM ROCK DRIVE,NA,Austin,Texas,United States,2,30.15575,-97.744639,1,rooftop,8717 Alum Rock Dr,NA,"Austin, TX 78747",NA,8717,Alum Rock Dr,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usncubmaka4nbehepb4qn37z4xtb3,building_centroid
5637 COLINTON AVE,New 1 Story Res W Att Garage And Cov Patio/Porch,2006-11-30,1,1,5637 COLINTON AVE,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=741139,5637 COLINTON AVE,NA,Austin,Texas,United States,2,30.372926,-97.61304,1,rooftop,5637 Colinton Ave,NA,"Austin, TX 78754",NA,5637,Colinton Ave,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usn29h7wr3yjfgf9tsjtfv7r6xrra,building_centroid
1601 CORIANDER DR,"New 1 Story Res W Att Garage And Cov Porch And Patio
*Smart House*",2006-11-30,1,1,1600 CORIANDER DR,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=739327,1600 CORIANDER DRIVE,NA,Austin,Texas,United States,2,30.222355,-97.692218,1,rooftop,1600 Coriander Dr,NA,"Austin, TX 78741",NA,1600,Coriander Dr,NA,NA,Austin,TX,NA,Travis County,78741,US,NA,City of Austin (Public Domain),gcod_usnntu3rvclfbg2frx75ywhgbvkrh,building_centroid
